support,itemsets
0.0036507666609988097,"frozenset({'grape bears (sour)', 'blueberry bears (sugared)'})"
0.0035807519579111615,"frozenset({'orange hearts (sour)', 'orange rings (sugared)'})"
0.0035507456565878836,"frozenset({'grape hearts (sugared)', 'grape hearts (sour)'})"
0.0035507456565878836,"frozenset({'apple rings (sugared)', 'apple hearts (sour)'})"
0.003530741455705698,"frozenset({'strawberry hearts (sour)', 'orange bears (sour)'})"
0.0035207393552646057,"frozenset({'orange rings (sugared)', 'strawberry rings (sour)'})"
0.0035207393552646057,"frozenset({'grape bears (sugared)', 'blueberry worms (sour)'})"
0.0035007351543824205,"frozenset({'blueberry hearts (sugared)', 'strawberry sharks (sugared)'})"
0.0034907330539413277,"frozenset({'orange worms (sugared)', 'orange hearts (sugared)'})"
0.003480730953500235,"frozenset({'blueberry hearts (sugared)', 'apple worms (sour)'})"
0.0034707288530591426,"frozenset({'blueberry hearts (sugared)', 'orange hearts (sugared)'})"
0.0034707288530591426,"frozenset({'grape worms (sour)', 'grape rings (sugared)'})"
0.0034707288530591426,"frozenset({'grape bears (sugared)', 'strawberry bears (sour)'})"
0.0034707288530591426,"frozenset({'apple hearts (sour)', 'grape rings (sugared)'})"
0.00346072675261805,"frozenset({'apple hearts (sour)', 'strawberry bears (sour)'})"
0.00346072675261805,"frozenset({'grape bears (sugared)', 'apple worms (sour)'})"
0.003450724652176957,"frozenset({'blueberry sharks (sugared)', 'blueberry sharks (sour)'})"
0.003450724652176957,"frozenset({'blueberry bears (sugared)', 'grape rings (sour)'})"
0.003450724652176957,"frozenset({'orange worms (sugared)', 'grape bears (sour)'})"
0.0034407225517358647,"frozenset({'blueberry worms (sugared)', 'grape rings (sugared)'})"
0.0034407225517358647,"frozenset({'strawberry bears (sugared)', 'grape rings (sour)'})"
0.003430720451294772,"frozenset({'apple rings (sugared)', 'grape hearts (sugared)'})"
0.003430720451294772,"frozenset({'grape hearts (sour)', 'grape rings (sugared)'})"
0.0034107162504125868,"frozenset({'grape hearts (sugared)', 'grape bears (sour)'})"
0.0034107162504125868,"frozenset({'strawberry worms (sour)', 'strawberry bears (sugared)'})"
0.0034107162504125868,"frozenset({'apple hearts (sour)', 'strawberry sharks (sugared)'})"
0.0034107162504125868,"frozenset({'blueberry sharks (sugared)', 'orange sharks (sugared)'})"
0.0034107162504125868,"frozenset({'grape hearts (sugared)', 'grape worms (sour)'})"
0.003400714149971494,"frozenset({'strawberry worms (sugared)', 'orange hearts (sour)'})"
0.003400714149971494,"frozenset({'orange rings (sour)', 'grape rings (sugared)'})"
0.003400714149971494,"frozenset({'grape hearts (sour)', 'orange sharks (sugared)'})"
0.003390712049530401,"frozenset({'orange worms (sugared)', 'apple sharks (sugared)'})"
0.003380709949089309,"frozenset({'orange bears (sour)', 'grape rings (sour)'})"
0.003380709949089309,"frozenset({'strawberry sharks (sour)', 'grape rings (sugared)'})"
0.003380709949089309,"frozenset({'grape worms (sour)', 'orange sharks (sugared)'})"
0.003380709949089309,"frozenset({'blueberry rings (sugared)', 'grape sharks (sugared)'})"
0.003380709949089309,"frozenset({'orange rings (sour)', 'strawberry rings (sugared)'})"
0.003370707848648216,"frozenset({'strawberry bears (sugared)', 'grape worms (sugared)'})"
0.003370707848648216,"frozenset({'blueberry sharks (sugared)', 'grape bears (sour)'})"
0.003370707848648216,"frozenset({'strawberry sharks (sour)', 'orange hearts (sugared)'})"
0.003370707848648216,"frozenset({'orange hearts (sugared)', 'blueberry sharks (sour)'})"
0.003370707848648216,"frozenset({'apple rings (sugared)', 'apple sharks (sugared)'})"
0.0033607057482071233,"frozenset({'blueberry worms (sugared)', 'blueberry worms (sour)'})"
0.0033607057482071233,"frozenset({'apple hearts (sugared)', 'blueberry worms (sour)'})"
0.0033607057482071233,"frozenset({'grape hearts (sour)', 'apple sharks (sugared)'})"
0.0033607057482071233,"frozenset({'blueberry worms (sugared)', 'orange sharks (sour)'})"
